vehicle_id,vehicle,split,source_ids,mass_kg,rotor_count,rotor_diameter_m,disk_loading_n_m2,battery_energy_wh,condition,metric,published_value,model_value,percent_error
NASA-SOLO,3DR SOLO NASA test article,fit,SRC-CAL-001|SRC-CAL-002|SRC-CAL-003,1.510463,4,0.254000,73.082491,,"Full vehicle, hover, uniform rotor speed; run 28 point 11; no additional payload; measured supported thrust used as the mass-equivalent test condition.",electrical_hover_power_w,184.442310,180.713545,-2.021643
NASA-PHANTOM3,DJI Phantom 3 Advanced NASA test article,fit,SRC-CAL-001|SRC-CAL-002|SRC-CAL-003,1.223339,4,0.238760,66.987589,,"Full vehicle, hover, uniform rotor speed; run 27 point 9; no additional payload; measured supported thrust used as the mass-equivalent test condition.",electrical_hover_power_w,172.069365,140.125741,-18.564388
NASA-IRIS,3DR Iris+ NASA test article,fit,SRC-CAL-001|SRC-CAL-002|SRC-CAL-003,1.278677,4,0.243840,67.130784,,"Full vehicle, hover, uniform rotor speed; run 29 point 12; no additional payload; measured supported thrust used as the mass-equivalent test condition.",electrical_hover_power_w,142.896432,146.620851,2.606377
NASA-DAX8,Drone America DAx8 NASA test article,fit,SRC-CAL-001|SRC-CAL-002|SRC-CAL-003,5.591887,8,0.279400,111.801176,,"Full vehicle, hover, uniform rotor speed; run 97 point 9; no additional payload; measured supported thrust used as the mass-equivalent test condition.",electrical_hover_power_w,837.983601,827.476390,-1.253868
NASA-ENDURANCE,Straight Up Imaging Endurance NASA test article,fit,SRC-CAL-001|SRC-CAL-002|SRC-CAL-003,2.913424,4,0.381000,62.650496,,"Full vehicle, hover, uniform rotor speed; run 119 point 11; no additional payload; measured supported thrust used as the mass-equivalent test condition.",electrical_hover_power_w,281.524719,322.730477,14.636639
DJI-M30,DJI Matrice 30 Series,check,SRC-CAL-005|SRC-CAL-008,3.770000,4,0.406400,71.253263,263.200,"Manufacturer maximum hover time, laboratory environment; aircraft includes two batteries; standard 16 in propellers; payload condition not separately stated.",hover_endurance_min,36.000000,33.573802,-6.739439
DJI-M4,DJI Matrice 4 Series,check,SRC-CAL-006,1.219000,4,0.274320,50.566112,99.500,"Hover in a windless sea-level environment from 100% battery to 0%, standard propellers, no added payload stated.",hover_endurance_min,42.000000,40.802920,-2.850190
DJI-MAVIC3M,DJI Mavic 3M,check,SRC-CAL-007|SRC-CAL-008,0.951000,4,0.238800,52.057424,77.000,Hover in a wind-free sea-level environment until 0% power remaining; standard hard propellers; no added payload.,hover_endurance_min,37.000000,38.173122,3.170600
DJI-M350,DJI Matrice 350 RTK,excluded,SRC-CAL-004|SRC-CAL-008,6.470000,4,0.533400,70.985404,526.400,"Excluded from fit and check: 55 min is forward flight at about 8 m/s without payload in windless conditions to 0%, not hover.",excluded_forward_flight_endurance_min,55.000000,,
