obstruction_scenario,obstruction_label,obstruction_height_m,obstruction_position_fraction,predicted_midpoint_clearance_threshold_m,relay_60m_hop_1_visible,relay_120m_hop_1_visible,relay_240m_hop_1_visible,architecture_state_counts
baseline_h80_x40,Baseline: 80 m screen at 40% baseline,80.0,0.4,100.0,False,True,True,"{""MASS_CLOSED_PRACTICAL_CONSTRAINT_FAILURE"": 6, ""RELAY_BENEFICIAL_AND_FEASIBLE"": 18, ""RELAY_CONNECTIVITY_INFEASIBLE"": 60, ""RELAY_FUNCTIONAL_VEHICLE_RESOURCE_FAILURE"": 6}"
h60_x40,Height sensitivity: 60 m screen at 40% baseline,60.0,0.4,75.0,False,True,True,"{""MASS_CLOSED_PRACTICAL_CONSTRAINT_FAILURE"": 6, ""RELAY_BENEFICIAL_AND_FEASIBLE"": 18, ""RELAY_CONNECTIVITY_INFEASIBLE"": 60, ""RELAY_FUNCTIONAL_VEHICLE_RESOURCE_FAILURE"": 6}"
h100_x40,Height sensitivity: 100 m screen at 40% baseline,100.0,0.4,125.0,False,False,True,"{""MASS_CLOSED_PRACTICAL_CONSTRAINT_FAILURE"": 3, ""RELAY_BENEFICIAL_AND_FEASIBLE"": 9, ""RELAY_CONNECTIVITY_INFEASIBLE"": 75, ""RELAY_FUNCTIONAL_VEHICLE_RESOURCE_FAILURE"": 3}"
h80_x30,Location sensitivity: 80 m screen at 30% baseline,80.0,0.3,133.333,False,False,True,"{""MASS_CLOSED_PRACTICAL_CONSTRAINT_FAILURE"": 3, ""RELAY_BENEFICIAL_AND_FEASIBLE"": 9, ""RELAY_CONNECTIVITY_INFEASIBLE"": 75, ""RELAY_FUNCTIONAL_VEHICLE_RESOURCE_FAILURE"": 3}"
h80_x45,Location sensitivity: 80 m screen at 45% baseline,80.0,0.45,88.889,False,True,True,"{""MASS_CLOSED_PRACTICAL_CONSTRAINT_FAILURE"": 6, ""RELAY_BENEFICIAL_AND_FEASIBLE"": 18, ""RELAY_CONNECTIVITY_INFEASIBLE"": 60, ""RELAY_FUNCTIONAL_VEHICLE_RESOURCE_FAILURE"": 6}"
