case,payload_mass_kg,payload_power_w,endurance_min,conditional_class,owner_requirement_class,converged,iterations,gross_mass_kg,battery_mass_kg,battery_mass_fraction,total_hover_power_w,required_nominal_battery_energy_wh,installed_nominal_battery_energy_wh,battery_sizing_driver,achievable_endurance_min,equivalent_rotor_diameter_m,battery_discharge_margin,platform_cost_usd,feasibility_burden
reference,1.0,0.0,10.0,FEASIBLE,UNDETERMINED,True,52,7.512037,2.441913,0.325067,839.702414,194.375559,415.125239,power,21.356864,0.625156,1.15,2213.99,0.956522
reference,1.0,0.0,20.0,FEASIBLE,UNDETERMINED,True,52,7.512037,2.441913,0.325067,839.702414,388.751118,415.125239,power,21.356864,0.625156,1.15,2213.99,0.956522
reference,1.0,0.0,30.0,MARGINAL,UNDETERMINED,True,82,11.597133,5.239963,0.451833,1282.74302,890.793764,890.793764,energy,30.0,0.776757,1.605864,3040.51,1.216203
reference,1.0,0.0,45.0,INFEASIBLE,UNDETERMINED,False,31,50.699731,33.04873,0.651852,5393.552801,5618.284168,5618.284168,energy,45.0,1.604788,2.388418,10989.08,10.0
reference,1.0,0.0,60.0,INFEASIBLE,UNDETERMINED,False,10,51.898675,39.401157,0.759194,4822.701587,6698.196649,6698.196649,energy,60.0,1.51707,3.185552,11431.71,10.0
reference,1.0,50.0,10.0,FEASIBLE,UNDETERMINED,True,52,7.702752,2.572542,0.333977,914.733824,211.743941,437.332083,power,20.653818,0.633042,1.15,2252.57,0.956522
reference,1.0,50.0,20.0,FEASIBLE,UNDETERMINED,True,52,7.702752,2.572542,0.333977,914.733824,423.487882,437.332083,power,20.653818,0.633042,1.15,2252.57,0.956522
reference,1.0,50.0,30.0,MARGINAL,UNDETERMINED,True,82,12.51485,5.868546,0.468927,1436.619941,997.652737,997.652737,energy,30.0,0.806905,1.639525,3226.19,1.290474
reference,1.0,50.0,45.0,INFEASIBLE,UNDETERMINED,False,27,50.741856,33.264562,0.655565,5428.776557,5654.97558,5654.97558,energy,45.0,1.601927,2.402072,11004.36,10.0
reference,1.0,50.0,60.0,INFEASIBLE,UNDETERMINED,False,10,57.220117,43.790034,0.765291,5359.900112,7444.305712,7444.305712,energy,60.0,1.591581,3.203108,12535.28,10.0
reference,1.0,100.0,10.0,FEASIBLE,UNDETERMINED,True,52,7.893467,2.70317,0.342457,989.765234,229.112323,459.538926,power,20.057364,0.640831,1.15,2291.16,0.956522
reference,1.0,100.0,20.0,FEASIBLE,UNDETERMINED,True,52,7.893467,2.70317,0.342457,989.76527,458.224662,459.538944,power,20.057364,0.640831,1.15,2291.16,0.956522
reference,1.0,100.0,30.0,MARGINAL,UNDETERMINED,True,82,13.432567,6.497128,0.483685,1590.496862,1104.511709,1104.511709,energy,30.0,0.835967,1.667718,3411.86,1.364745
reference,1.0,100.0,45.0,INFEASIBLE,UNDETERMINED,False,24,50.902507,33.560216,0.659304,5477.027205,5705.236672,5705.236672,energy,45.0,1.601014,2.415624,11043.58,10.0
reference,1.0,100.0,60.0,INFEASIBLE,UNDETERMINED,False,9,53.141972,40.811928,0.767979,4995.380036,6938.027828,6938.027828,energy,60.0,1.527153,3.225205,11703.48,10.0
reference,1.5,0.0,10.0,FEASIBLE,UNDETERMINED,True,53,9.094648,2.949637,0.324327,1011.341217,234.106763,501.438357,power,21.419217,0.687864,1.15,2463.14,0.985257
reference,1.5,0.0,20.0,FEASIBLE,UNDETERMINED,True,53,9.094648,2.949637,0.324327,1011.341217,468.213526,501.438357,power,21.419217,0.687864,1.15,2463.14,0.985257
reference,1.5,0.0,30.0,MARGINAL,UNDETERMINED,True,82,13.97926,6.295309,0.450332,1541.09167,1070.202548,1070.202548,energy,30.0,0.852809,1.602856,3451.43,1.397926
reference,1.5,0.0,45.0,INFEASIBLE,UNDETERMINED,False,25,51.267935,33.179518,0.647179,5414.897392,5640.518117,5640.518117,energy,45.0,1.607975,2.388393,11044.49,10.0
reference,1.5,0.0,60.0,INFEASIBLE,UNDETERMINED,False,9,50.015905,37.632399,0.752409,4606.205654,6397.507853,6397.507853,energy,60.0,1.482446,3.185995,10983.24,10.0
reference,1.5,50.0,10.0,MARGINAL,UNDETERMINED,True,53,9.285363,3.080266,0.331733,1086.372632,251.475146,523.645203,power,20.822941,0.695039,1.15,2501.73,1.000692
reference,1.5,50.0,20.0,MARGINAL,UNDETERMINED,True,53,9.285363,3.080266,0.331733,1086.372632,502.950293,523.645203,power,20.822941,0.695039,1.15,2501.73,1.000692
reference,1.5,50.0,30.0,MARGINAL,UNDETERMINED,True,83,14.896979,6.923892,0.464785,1694.968756,1177.061636,1177.061636,energy,30.0,0.880357,1.63147,3637.1,1.489698
reference,1.5,50.0,45.0,INFEASIBLE,UNDETERMINED,False,22,50.64334,32.946343,0.650556,5376.843198,5600.878331,5600.878331,energy,45.0,1.594132,2.402267,10925.16,10.0
reference,1.5,50.0,60.0,INFEASIBLE,UNDETERMINED,False,9,54.468073,41.339978,0.758976,5060.013273,7027.796212,7027.796212,energy,60.0,1.545727,3.204719,11907.83,10.0
reference,1.5,100.0,10.0,MARGINAL,UNDETERMINED,True,53,9.476078,3.210894,0.338842,1161.404048,268.84353,545.852049,power,20.303708,0.702141,1.15,2540.32,1.016126
reference,1.5,100.0,20.0,MARGINAL,UNDETERMINED,True,53,9.476078,3.210894,0.338842,1161.404059,537.687064,545.852054,power,20.303708,0.702141,1.15,2540.32,1.016126
reference,1.5,100.0,30.0,INFEASIBLE,UNDETERMINED,True,83,15.814696,7.552474,0.477561,1848.845692,1283.920619,1283.920619,energy,30.0,0.907069,1.656114,3822.78,1.58147
reference,1.5,100.0,45.0,INFEASIBLE,UNDETERMINED,False,20,50.844285,33.269133,0.654334,5429.522494,5655.752598,5655.752598,energy,45.0,1.593881,2.415921,10972.51,10.0
